COD_MUN,Nome,State,Candidate,Round,Votes,Tot_Votes,Pct_Votes
1200351,Marechal Thaumaturgo,AC,DILMA VANA ROUSSEFF,2,2997,5761,52.022218364867214
1200328,Jordão,AC,DILMA VANA ROUSSEFF,2,1552,2784,55.74712643678161
1100080,Costa Marques,RO,DILMA VANA ROUSSEFF,2,3689,5983,61.6580310880829
1702158,Araguanã,TO,DILMA VANA ROUSSEFF,2,1815,2598,69.86143187066975
1502707,Conceição do Araguaia,PA,DILMA VANA ROUSSEFF,2,9721,20571,47.25584560789461
1703206,Bernardo Sayão,TO,DILMA VANA ROUSSEFF,2,1019,2233,45.63367666815943
1200401,Rio Branco,AC,DILMA VANA ROUSSEFF,2,59921,195164,30.70289602590642
1505809,Portel,PA,DILMA VANA ROUSSEFF,2,11022,17604,62.61077027948193
1100148,Nova Brasilândia D'Oeste,RO,DILMA VANA ROUSSEFF,2,4203,10362,40.561667631731325
1705102,Chapada da Natividade,TO,DILMA VANA ROUSSEFF,2,1237,1790,69.10614525139664
2203701,Esperantina,PI,DILMA VANA ROUSSEFF,2,14760,20204,73.0548406256187
2803104,Itabi,SE,DILMA VANA ROUSSEFF,2,2293,3258,70.38060159607122
2501351,Assunção,PB,DILMA VANA ROUSSEFF,2,1842,2452,75.12234910277324
2111409,São Luís Gonzaga do Maranhão,MA,DILMA VANA ROUSSEFF,2,10576,11707,90.3391133509866
2512705,Remígio,PB,DILMA VANA ROUSSEFF,2,7344,9590,76.57977059436914
2608701,Lagoa dos Gatos,PE,DILMA VANA ROUSSEFF,2,6043,8052,75.04967709885743
2707503,Porto Real do Colégio,AL,DILMA VANA ROUSSEFF,2,8313,10202,81.48402274063909
2806305,Santa Luzia do Itanhy,SE,DILMA VANA ROUSSEFF,2,5734,7183,79.8273701795907
2211704,Wall Ferraz,PI,DILMA VANA ROUSSEFF,2,2027,2738,74.03214024835646
2503803,Caldas Brandão,PB,DILMA VANA ROUSSEFF,2,2688,3701,72.62901918400433
2402204,Canguaretama,RN,DILMA VANA ROUSSEFF,2,12502,16117,77.57026741949494
2102804,Carolina,MA,DILMA VANA ROUSSEFF,2,8537,11397,74.9056769325261
2313401,Tianguá,CE,DILMA VANA ROUSSEFF,2,26977,36971,72.96800194747235
2512903,Rio Tinto,PB,DILMA VANA ROUSSEFF,2,8657,12785,67.71216269065312
2929602,Sapeaçu,BA,DILMA VANA ROUSSEFF,2,7694,10338,74.42445347262526
2513703,Santa Rita,PB,DILMA VANA ROUSSEFF,2,42839,66082,64.82703308011259
2915106,Itagi,BA,DILMA VANA ROUSSEFF,2,4240,6958,60.9370508766887
2310803,Pereiro,CE,DILMA VANA ROUSSEFF,2,7624,9413,80.99436948900457
2922706,Nova Canaã,BA,DILMA VANA ROUSSEFF,2,6418,8136,78.88397246804327
2925105,Poções,BA,DILMA VANA ROUSSEFF,2,15151,21546,70.31931681054489
2107100,Morros,MA,DILMA VANA ROUSSEFF,2,7630,8622,88.49454882857806
2606903,Iguaracy,PE,DILMA VANA ROUSSEFF,2,5281,6235,84.69927826784283
2905602,Camacan,BA,DILMA VANA ROUSSEFF,2,7420,11818,62.78558131663564
2908002,Coaraci,BA,DILMA VANA ROUSSEFF,2,6794,11404,59.57558751315328
2912707,Ibirapitanga,BA,DILMA VANA ROUSSEFF,2,6157,9169,67.15017995419348
2914901,Itacaré,BA,DILMA VANA ROUSSEFF,2,6855,9134,75.0492664768995
2703700,Jaramataia,AL,DILMA VANA ROUSSEFF,2,2461,3123,78.80243355747677
2300507,Alcântaras,CE,DILMA VANA ROUSSEFF,2,5233,6159,84.96509173567136
2601805,Betânia,PE,DILMA VANA ROUSSEFF,2,5778,6273,92.1090387374462
2107456,Olinda Nova do Maranhão,MA,DILMA VANA ROUSSEFF,2,5138,5609,91.6027812444286
2109270,Presidente Sarney,MA,DILMA VANA ROUSSEFF,2,7294,8183,89.13601368691188
2109809,Santa Helena,MA,DILMA VANA ROUSSEFF,2,10994,13830,79.4938539407086
2403301,Encanto,RN,DILMA VANA ROUSSEFF,2,2784,3198,87.05440900562851
2609808,Orocó,PE,DILMA VANA ROUSSEFF,2,6461,8235,78.45780206435944
2205540,Lagoinha do Piauí,PI,DILMA VANA ROUSSEFF,2,1565,1880,83.24468085106383
2313955,Varjota,CE,DILMA VANA ROUSSEFF,2,7224,9956,72.55926074728806
2704104,Lagoa da Canoa,AL,DILMA VANA ROUSSEFF,2,7774,10107,76.916988225982
2805703,Propriá,SE,DILMA VANA ROUSSEFF,2,9848,15208,64.75539189900053
2930105,Senhor do Bonfim,BA,DILMA VANA ROUSSEFF,2,23533,35440,66.40237020316026
3503000,Aramina,SP,DILMA VANA ROUSSEFF,2,1684,3361,50.10413567390658
3141801,Minas Novas,MG,DILMA VANA ROUSSEFF,2,9489,12387,76.60450472269315
3304201,Resende,RJ,DILMA VANA ROUSSEFF,2,25243,63068,40.02505232447517
3204807,São José do Calçado,ES,DILMA VANA ROUSSEFF,2,3969,6422,61.80317658050451
3520442,Ilha Solteira,SP,DILMA VANA ROUSSEFF,2,5888,14493,40.62650934934106
3504404,Avanhandava,SP,DILMA VANA ROUSSEFF,2,2475,5764,42.93893129770993
3305109,São João de Meriti,RJ,DILMA VANA ROUSSEFF,2,158646,240395,65.99388506416523
3530003,Mira Estrela,SP,DILMA VANA ROUSSEFF,2,1039,1926,53.9460020768432
3538907,Pirajuí,SP,DILMA VANA ROUSSEFF,2,2967,11242,26.392101049635297
3503109,Arandu,SP,DILMA VANA ROUSSEFF,2,1571,4084,38.46718903036239
3512308,Conchas,SP,DILMA VANA ROUSSEFF,2,2641,9437,27.98558864045777
3156908,Sacramento,MG,DILMA VANA ROUSSEFF,2,6599,14233,46.364083467996906
3104809,Augusto de Lima,MG,DILMA VANA ROUSSEFF,2,1757,2764,63.567293777134594
