ANO,UF,Codmun7,Município,THEIL
2010,11,1100015,ALTA FLORESTA D'OESTE,0.6
2010,11,1100023,ARIQUEMES,0.51
2010,11,1100031,CABIXI,0.44
2010,11,1100049,CACOAL,0.61
2010,11,1100056,CEREJEIRAS,0.46
2010,11,1100064,COLORADO DO OESTE,0.45
2010,11,1100072,CORUMBIARA,0.43
2010,11,1100080,COSTA MARQUES,0.48
2010,11,1100098,ESPIGÃO D'OESTE,0.48
2010,11,1100106,GUAJARÁ-MIRIM,0.51
2010,11,1100114,JARU,0.44
2010,11,1100122,JI-PARANÁ,0.52
2010,11,1100130,MACHADINHO D'OESTE,0.52
2010,11,1100148,NOVA BRASILÂNDIA D'OESTE,0.57
2010,11,1100155,OURO PRETO DO OESTE,0.4
2010,11,1100189,PIMENTA BUENO,0.52
2010,11,1100205,PORTO VELHO,0.56
2010,11,1100254,PRESIDENTE MÉDICI,0.48
2010,11,1100262,RIO CRESPO,0.59
2010,11,1100288,ROLIM DE MOURA,0.51
2010,11,1100296,SANTA LUZIA D'OESTE,0.44
2010,11,1100304,VILHENA,0.46
2010,11,1100320,SÃO MIGUEL DO GUAPORÉ,0.7
2010,11,1100338,NOVA MAMORÉ,0.47
2010,11,1100346,ALVORADA D'OESTE,0.54
2010,11,1100379,ALTO ALEGRE DOS PARECIS,0.51
2010,11,1100403,ALTO PARAÍSO,0.54
2010,11,1100452,BURITIS,0.45
2010,11,1100502,NOVO HORIZONTE DO OESTE,0.49
2010,11,1100601,CACAULÂNDIA,0.55
2010,11,1100700,CAMPO NOVO DE RONDÔNIA,0.79
2010,11,1100809,CANDEIAS DO JAMARI,0.37
2010,11,1100908,CASTANHEIRAS,0.44
2010,11,1100924,CHUPINGUAIA,0.39
2010,11,1100940,CUJUBIM,0.47
2010,11,1101005,GOVERNADOR JORGE TEIXEIRA,0.56
2010,11,1101104,ITAPUÃ DO OESTE,0.42
2010,11,1101203,MINISTRO ANDREAZZA,0.5
2010,11,1101302,MIRANTE DA SERRA,0.69
2010,11,1101401,MONTE NEGRO,0.39
2010,11,1101435,NOVA UNIÃO,0.38
2010,11,1101450,PARECIS,0.44
2010,11,1101468,PIMENTEIRAS DO OESTE,0.43
2010,11,1101476,PRIMAVERA DE RONDÔNIA,0.48
2010,11,1101484,SÃO FELIPE D'OESTE,0.4
2010,11,1101492,SÃO FRANCISCO DO GUAPORÉ,0.58
2010,11,1101500,SERINGUEIRAS,0.72
2010,11,1101559,TEIXEIRÓPOLIS,0.34
2010,11,1101609,THEOBROMA,0.57
2010,11,1101708,URUPÁ,0.44
2010,11,1101757,VALE DO ANARI,0.56
2010,11,1101807,VALE DO PARAÍSO,0.6
2010,12,1200013,ACRELÂNDIA,0.52
2010,12,1200054,ASSIS BRASIL,0.63
2010,12,1200104,BRASILÉIA,0.61
2010,12,1200138,BUJARI,0.61
2010,12,1200179,CAPIXABA,0.59
2010,12,1200203,CRUZEIRO DO SUL,0.74
2010,12,1200252,EPITACIOLÂNDIA,0.65
2010,12,1200302,FEIJÓ,0.73
2010,12,1200328,JORDÃO,0.88
2010,12,1200336,MÂNCIO LIMA,0.69
2010,12,1200344,MANOEL URBANO,0.63
2010,12,1200351,MARECHAL THAUMATURGO,0.51
2010,12,1200385,PLÁCIDO DE CASTRO,0.56
2010,12,1200393,PORTO WALTER,0.61
2010,12,1200401,RIO BRANCO,0.64
2010,12,1200427,RODRIGUES ALVES,0.72
2010,12,1200435,SANTA ROSA DO PURUS,1.15
2010,12,1200450,SENADOR GUIOMARD,0.54
2010,12,1200500,SENA MADUREIRA,0.48
2010,12,1200609,TARAUACÁ,0.74
2010,12,1200708,XAPURI,0.59
2010,12,1200807,PORTO ACRE,0.66
2010,13,1300029,ALVARÃES,0.54
2010,13,1300060,AMATURÁ,0.73
2010,13,1300086,ANAMÃ,0.62
2010,13,1300102,ANORI,0.66
2010,13,1300144,APUÍ,0.56
2010,13,1300201,ATALAIA DO NORTE,0.55
2010,13,1300300,AUTAZES,0.62
2010,13,1300409,BARCELOS,0.77
2010,13,1300508,BARREIRINHA,0.66
2010,13,1300607,BENJAMIN CONSTANT,0.5
2010,13,1300631,BERURI,0.73
2010,13,1300680,BOA VISTA DO RAMOS,0.62
2010,13,1300706,BOCA DO ACRE,0.72
2010,13,1300805,BORBA,0.72
2010,13,1300839,CAAPIRANGA,0.53
2010,13,1300904,CANUTAMA,0.67
2010,13,1301001,CARAUARI,0.55
2010,13,1301100,CAREIRO,0.63
2010,13,1301159,CAREIRO DA VÁRZEA,0.49
2010,13,1301209,COARI,0.69
2010,13,1301308,CODAJÁS,0.69
2010,13,1301407,EIRUNEPÉ,0.67
2010,13,1301506,ENVIRA,0.7
2010,13,1301605,FONTE BOA,0.62
2010,13,1301654,GUAJARÁ,0.89
2010,13,1301704,HUMAITÁ,0.84
2010,13,1301803,IPIXUNA,0.54
2010,13,1301852,IRANDUBA,0.55
2010,13,1301902,ITACOATIARA,0.63
2010,13,1301951,ITAMARATI,1.28
2010,13,1302009,ITAPIRANGA,0.81
2010,13,1302108,JAPURÁ,0.66
2010,13,1302207,JURUÁ,0.67
2010,13,1302306,JUTAÍ,0.87
2010,13,1302405,LÁBREA,0.63
2010,13,1302504,MANACAPURU,0.56
2010,13,1302553,MANAQUIRI,0.59
